x,y,h3_address,neighbours,neighbours_centroids,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,caslt_cnt_1,dth_dnv_cnt_1,se_dnv_cnt_1,sl_dnv_cnt_1,wnd_dnv_cnt_1,caslt_cnt_2,dth_dnv_cnt_2,se_dnv_cnt_2,sl_dnv_cnt_2,wnd_dnv_cnt_2,caslt_cnt_3,dth_dnv_cnt_3,se_dnv_cnt_3,sl_dnv_cnt_3,wnd_dnv_cnt_3,caslt_cnt_4,dth_dnv_cnt_4,se_dnv_cnt_4,sl_dnv_cnt_4,wnd_dnv_cnt_4,caslt_cnt_5,dth_dnv_cnt_5,se_dnv_cnt_5,sl_dnv_cnt_5,wnd_dnv_cnt_5,caslt_cnt_6,dth_dnv_cnt_6,se_dnv_cnt_6,sl_dnv_cnt_6,wnd_dnv_cnt_6,bus_station_cnt,traffic_cnt,pleasure_cnt,seoul_police_cnt,park_cnt,crossroad_cnt,도로10이하_cnt,도로10_20_cnt,도로20_30_cnt,도로30이상_cnt,child_cnt,silver_cnt,crosswalk_cnt,prediction
127.0036405244,37.5298568218,8930e1ca49bffff,"['8930e1ca483ffff', '8930e1d8a67ffff', '8930e1ca4d7ffff', '8930e1ca49bffff', '8930e1ca48bffff', '8930e1ca493ffff', '8930e1d8a6fffff']","[(37.5314296885282, 127.007501078564), (37.53207736782407, 127.00231455443613), (37.52751795824695, 127.00455765664934), (37.53034168576204, 127.00479105844234), (37.52860588298407, 127.00726754563911), (37.53316545213606, 127.00502448115851), (37.52925367948004, 127.00208126284447)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,11,0,7,3,1,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,2,2,1,0.2898061747727644
127.0038515828,37.5312394152,8930e1ca49bffff,"['8930e1ca483ffff', '8930e1d8a67ffff', '8930e1ca4d7ffff', '8930e1ca49bffff', '8930e1ca48bffff', '8930e1ca493ffff', '8930e1d8a6fffff']","[(37.5314296885282, 127.007501078564), (37.53207736782407, 127.00231455443613), (37.52751795824695, 127.00455765664934), (37.53034168576204, 127.00479105844234), (37.52860588298407, 127.00726754563911), (37.53316545213606, 127.00502448115851), (37.52925367948004, 127.00208126284447)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,11,0,7,3,1,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,2,2,1,0.2898061747727644
127.0055482943,37.5296370672,8930e1ca49bffff,"['8930e1ca483ffff', '8930e1d8a67ffff', '8930e1ca4d7ffff', '8930e1ca49bffff', '8930e1ca48bffff', '8930e1ca493ffff', '8930e1d8a6fffff']","[(37.5314296885282, 127.007501078564), (37.53207736782407, 127.00231455443613), (37.52751795824695, 127.00455765664934), (37.53034168576204, 127.00479105844234), (37.52860588298407, 127.00726754563911), (37.53316545213606, 127.00502448115851), (37.52925367948004, 127.00208126284447)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,11,0,7,3,1,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,2,2,1,0.2898061747727644
126.9906797596,37.5636034156,8930e1d8883ffff,"['8930e1d888fffff', '8930e1d8887ffff', '8930e1d8883ffff', '8930e1d8893ffff', '8930e1d889bffff', '8930e1d8897ffff', '8930e1d888bffff']","[(37.561608537620685, 126.99427192831868), (37.56443241805205, 126.9945049670531), (37.56334330199433, 126.99179445834575), (37.565077945558905, 126.98931697159898), (37.56225418242632, 126.98908417434598), (37.56616714312793, 126.9920273867794), (37.56051949956298, 126.99156155079932)]",5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,86,0,0,3,7,0,0,1,0,0,8,0.28851342708879724
126.9170489106,37.4760555206,8930e0361b3ffff,"['8930e1d924bffff', '8930e036187ffff', '8930e1d924fffff', '8930e0361bbffff', '8930e0361b7ffff', '8930e0361b3ffff', '8930e0361a3ffff']","[(37.477509389821996, 126.91411205186418), (37.47468847452105, 126.91388308928967), (37.47859703229159, 126.9168138883656), (37.47295508431943, 126.91635572291665), (37.47686359994832, 126.91928672536775), (37.475776038761325, 126.91658479538896), (37.47404256727805, 126.91905752248593)]",6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,23,9,1,4,17,0,0,0,5,9,0,0,0,6,1,4,0.283637536660446
127.013264208,37.564104533,8930e1d891bffff,"['8930e1d89cfffff', '8930e1d8903ffff', '8930e1d890bffff', '8930e1d8957ffff', '8930e1d89c7ffff', '8930e1d8913ffff', '8930e1d891bffff']","[(37.562494111041886, 127.01007132311365), (37.564671821860564, 127.01549492420497), (37.561847433688385, 127.01526089823314), (37.56075865805011, 127.01254911661002), (37.56531838197879, 127.0103051074527), (37.56640731716017, 127.01301692691354), (37.56358296825188, 127.01278301127216)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,2,0,1,9,0,0,0,4,3,1,0.2812398517779028
127.011916136,37.5627190211,8930e1d891bffff,"['8930e1d89cfffff', '8930e1d8903ffff', '8930e1d890bffff', '8930e1d8957ffff', '8930e1d89c7ffff', '8930e1d8913ffff', '8930e1d891bffff']","[(37.562494111041886, 127.01007132311365), (37.564671821860564, 127.01549492420497), (37.561847433688385, 127.01526089823314), (37.56075865805011, 127.01254911661002), (37.56531838197879, 127.0103051074527), (37.56640731716017, 127.01301692691354), (37.56358296825188, 127.01278301127216)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,2,0,1,9,0,0,0,4,3,1,0.2812398517779028
126.9215279006,37.48571647,8930e1d923bffff,"['8930e1d9207ffff', '8930e1d923bffff', '8930e1d922bffff', '8930e1d9223ffff', '8930e1d9277ffff', '8930e1d9233ffff', '8930e1d920fffff']","[(37.4881481213401, 126.92020374208987), (37.48641472517564, 126.92267700236116), (37.484681208545496, 126.92515024617488), (37.487502514844195, 126.9253797715682), (37.48359349708192, 126.92244760745426), (37.48923599231011, 126.92290641780548), (37.485326932411546, 126.91997445712462)]",0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,114,0,0,2,3,0,0,0,2,0,6,0.2770859718997024
127.0708608104,37.6612706216,8930e1c2127ffff,"['8930e1c2ccbffff', '8930e1c2127ffff', '8930e1c2c53ffff', '8930e1c212fffff', '8930e1c2c5bffff', '8930e1c2123ffff', '8930e1c2137ffff']","[(37.66340832909828, 127.07097543911974), (37.66058146188015, 127.07073845097729), (37.6616723452972, 127.07345819797936), (37.65775463293115, 127.07050148413012), (37.658845438599045, 127.0732210991028), (37.65949057446087, 127.06801892958899), (37.66231736392885, 127.0682557857094)]",10,2,4,4,0,0,0,0,0,0,12,0,6,6,0,0,0,0,0,0,24,0,20,4,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,3,9,0,0,0,5,0,8,0.2765585247536528
126.9908851291,37.5672642223,8930e1d8c2fffff,"['8930e1d8c23ffff', '8930e1d8c2bffff', '8930e1d8893ffff', '8930e1d8d5bffff', '8930e1d8c2fffff', '8930e1d8897ffff', '8930e1d8c27ffff']","[(37.56963623082069, 126.98707217591237), (37.56681246831171, 126.9868394680874), (37.565077945558905, 126.98931697159898), (37.56899102295065, 126.99226033610307), (37.56790174738499, 126.98954978972945), (37.56616714312793, 126.9920273867794), (37.570725587891545, 126.98978262874023)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,20,3,2,2,57,0,1,0,4,0,0,0,0,2,6,0.27364471066661544
