gu,Unnamed: 1,doro,Unnamed: 3,Unnamed: 4,X,Y
관악구,동명노인복지센터,봉천로23라길 15,2014.0,,126.9364715,37.4881123
관악구,덕진경로당,남부순환로234길 37,2015.0,,126.95679565,37.4777029
관악구,백설경로당,관악로6길 50,2015.0,,126.95353645,37.4762707
관악구,관악시니어클럽,남부순환로247다길 60,2016.0,,126.9655233,37.4781276
관악구,관악구민,낙성대로3길 37,2017.0,,126.9603435,37.47307285
관악구,미성요양원,난곡로63가길 42,2018.0,,126.9143037,37.4796594
관악구,관악산공원,대학동,2019.0,,126.9525963267653,37.453308250000006
관악구,예촌경로당,남현길 41,2020.0,,126.975907,37.4734876
관악구,당곡경로당,당곡6길 37,2021.0,,126.9310849,37.4929809
관악구,서광경로당,참숯5길 38,2022.0,,126.94176659904552,37.47611929999999
서초구,방배노인종합복지관,방배천로 48,2009.0,,126.9834071,37.4774396
서초구,구립양재노인종합복지관,강남대로30길 73-7,2013.0,,127.0408921,37.4829998
서초구,구립중앙노인종합복지관,서초대로54길 45,2013.0,,127.0168622,37.4923174
서초구,서초구립노인요양센터,남부순환로340길 21,2016.0,,127.0226798,37.4808093
서초구,구립양재종합사회복지관,남부순환로 2610,2016.0,,127.0125628,37.4804893
서초구,서초성심노인복지센터,반포대로22길 61,2017.0,,127.0107564,37.4890491
서초구,방배2동 제2구립경로당,방배천로16길 5,2018.0,,126.9833999,37.4821705
서초구,서초느티나무쉼터,반포대로1길 53-3,2019.0,,127.0116175,37.4820029
서초구,내곡느티나무쉼터,염곡말길 9,2020.0,,127.0539014,37.4626315
서초구,양재느티나무쉼터,바우뫼로41길 72-9,2020.0,,127.0405319,37.4826241
서초구,예술의마을 경로당,남부순환로323길 44-15,2022.0,,127.0130974,37.4832389
강남구,구립논현노인종합복지관,강남대로128길 59,2008.0,,127.023491,37.5100561
강남구,한마음경로당,논현로136길 5-8,2011.0,,127.0301892,37.5165711
강남구,강남시니어플라자,봉은사로 332,2013.0,,127.0665789,37.5154363
강남구,구립대치노인복지센터,역삼로69길 22,2013.0,,127.0540113,37.5032271
강남구,강남스포츠문화센터,밤고개로1길 52,2014.0,,127.1033456,37.4888508
강남구,학수정데이케어센터,도산대로17길 45,2014.0,,127.0248695,37.5192479
강남구,압구정노인복지센터,도산대로53길 5,2014.0,,127.0385324,37.5243089
강남구,대한노인회 강남구지회,선릉로 706,2014.0,,127.0468672,37.5071455
강남구,서울요양원,헌릉로590길 50,2015.0,,127.1012352,37.4623303
강남구,서울시니어스 강남타워,자곡로 100-2,2018.0,,127.109981,37.4767169
강남구,더시그넘하우스,자곡로 204-25,2019.0,,127.1000844,37.4728443
강남구,강남70플러스라운지,남부순환로378길 20,2020.0,,127.0459179,37.4856318
송파구,개릉경로당,동남로14길 17-46,2021.0,,127.1317437,37.491826
송파구,송파노인종합복지관,백제고분로32길 41,2008.0,,127.0936931,37.5014036
송파구,구립 송파노인요양센터,충민로 184,2010.0,,127.1225361,37.4782297
송파구,송파구노인회관,송파대로38길 1,2016.0,,127.1122135,37.500727
송파구,남천경로당,성내천로33가길 16,2016.0,,127.1539995,37.4998964
송파구,돌마리경로당,가락로7길 4,2017.0,,127.1029483,37.503492
송파구,풍납제1경로당,풍성로 67,2018.0,,127.1170894,37.5342968
송파구,오금경로당,성내천로10길 4,2019.0,,127.1355546,37.5014594
송파구,거여2동구립새마을경로당,오금로62길 13-3,2020.0,,127.1468487,37.4925015
송파구,마천경로당,성내천로38길 4,2020.0,,127.1531786,37.497747
송파구,방이경로당,가락로39길 11,2020.0,,127.1168755,37.5123444
송파구,왕천경로당,양재대로71길 20-10,2020.0,,127.1228751,37.5104259
송파구,샛팽이경로당,오금로42길 15,2022.0,,127.1347212,37.497569
송파구,장지경로당,새말로10길 3-16,2022.0,,127.1274957,37.4821241
강동구,시립고덕양로원,고덕로 199,2009.0,,127.1310639,37.5546849
강동구,구립해공노인복지관,천중로17길 42-16,2013.0,,127.1309958,37.5465816
강동구,강동노인회관,천중로49길 104,2014.0,,127.1437579,37.5423434
강동구,성내천어르신사랑방,성안로3길 112-9,2014.0,,127.1246843,37.5276449
강동구,성암장수마을 요양원,구천면로68길 46,2016.0,,127.1422412,37.5471354
강동구,강동노인종합복지관,동남로71길 32-5,2018.0,,127.15419351150524,37.552320550000005
강동구,쉼터경로당,올림픽로89길 27-23,2019.0,,127.1241583,37.5478251
강동구,구립강암경로당,상암로15길 38-15,2020.0,,127.1317072,37.5500326
