"x","y","h3_address","neighbours","neighbours_centroids","caslt_cnt","dth_dnv_cnt","se_dnv_cnt","sl_dnv_cnt","wnd_dnv_cnt","caslt_cnt_1","dth_dnv_cnt_1","se_dnv_cnt_1","sl_dnv_cnt_1","wnd_dnv_cnt_1","caslt_cnt_2","dth_dnv_cnt_2","se_dnv_cnt_2","sl_dnv_cnt_2","wnd_dnv_cnt_2","caslt_cnt_3","dth_dnv_cnt_3","se_dnv_cnt_3","sl_dnv_cnt_3","wnd_dnv_cnt_3","caslt_cnt_4","dth_dnv_cnt_4","se_dnv_cnt_4","sl_dnv_cnt_4","wnd_dnv_cnt_4","caslt_cnt_5","dth_dnv_cnt_5","se_dnv_cnt_5","sl_dnv_cnt_5","wnd_dnv_cnt_5","caslt_cnt_6","dth_dnv_cnt_6","se_dnv_cnt_6","sl_dnv_cnt_6","wnd_dnv_cnt_6","bus_station_cnt","traffic_cnt","pleasure_cnt","seoul_police_cnt","park_cnt","crossroad_cnt","도로10이하_cnt","도로10_20_cnt","도로20_30_cnt","도로30이상_cnt","child_cnt","silver_cnt","crosswalk_cnt","t_caslt_cnt","t_dth_dnv_cnt","t_se_dnv_cnt","t_sl_dnv_cnt","t_wnd_dnv_cnt","EPDO","pred_EPDO","diff"
126.9269678694,37.6034471059,"8930e1da10bffff","['8930e1da10fffff', '8930e1da173ffff', '8930e1da10bffff', '8930e1da147ffff', '8930e1da103ffff', '8930e1da11bffff', '8930e1da157ffff']","[(37.60385032456971, 126.92962213166389), (37.60102754600425, 126.92939200280169), (37.602759247571704, 126.92691432035967), (37.599936547039945, 126.92668432246833), (37.605581986605664, 126.92714433887934), (37.604490828282295, 126.92443662138498), (37.601668167283, 126.92420673382878)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,2,0,0,3,1,0,0,0,4,0,16,1,0,0,0,0,0,7.07723198310233,7.07723198310233
126.9716213569,37.5639774235,"8930e1d8127ffff","['8930e1d8ccbffff', '8930e1d8123ffff', '8930e1d8c5bffff', '8930e1d812fffff', '8930e1d8127ffff', '8930e1d8137ffff', '8930e1d8c53ffff']","[(37.56592334848169, 126.97104611976401), (37.562010634085155, 126.96810529783014), (37.56136602079915, 126.97329123029726), (37.5602767209609, 126.97058225671249), (37.56310001537234, 126.97081417784058), (37.56483388916395, 126.96833710869457), (37.56418939324014, 126.97352328249173)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,3,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,2.1027891563766,2.1027891563766
126.8579083981,37.534550604,"8930e0aeb2fffff","['8930e0aeb2bffff', '8930e0aeb23ffff', '8930e0acd97ffff', '8930e1db65bffff', '8930e0aeb27ffff', '8930e0acd93ffff', '8930e0aeb2fffff']","[(37.533174129673895, 126.85589322810038), (37.53599433572732, 126.8561196740473), (37.53253376773599, 126.8610672478236), (37.53535409143914, 126.86129393408847), (37.53708439628231, 126.85882004529375), (37.5314438665248, 126.85836691308941), (37.5342641120028, 126.85859346904759)]",0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,14,2,7,4,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,3,3,1,1,0,45,2.2706511555039,-42.7293488444961
127.0910277961,37.582393507,"8930e1c1cb3ffff","['8930e1c034bffff', '8930e1c034fffff', '8930e1c1ca3ffff', '8930e1c1cb3ffff', '8930e1c1c87ffff', '8930e1c1cb7ffff', '8930e1c1cbbffff']","[(37.585590100783705, 127.08808892313884), (37.58667861463713, 127.09080674059365), (37.582114100792914, 127.09304924742698), (37.58385216128954, 127.09056909387427), (37.582763725269146, 127.08785140824965), (37.58494059334083, 127.09328700465086), (37.581025746573644, 127.09033146848786)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3.21810480383812,3.21810480383812
126.8107848542,37.5662618602,"8930e0aec87ffff","['8930e0a534bffff', '8930e0aecb3ffff', '8930e0aecbbffff', '8930e0aec83ffff', '8930e0aec87ffff', '8930e0aec8fffff', '8930e0aec97ffff']","[(37.56993728055407, 126.81181308546773), (37.568209266629495, 126.81428728101821), (37.56538969362022, 126.81406268550015), (37.566026224932386, 126.80889014317334), (37.56711774715111, 126.81158860001176), (37.56429825238451, 126.81136413465919), (37.56884568009175, 126.80911449847125)]",0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,7,4,0,0,0,3,1,14,1,0,1,0,0,6,13.9973933498837,7.99739334988366
127.0265595728,37.5756226597,"8930e1c14d7ffff","['8930e1c326fffff', '8930e1c14c3ffff', '8930e1c14d7ffff', '8930e1c14c7ffff', '8930e1c148bffff', '8930e1c149bffff', '8930e1c14d3ffff']","[(37.57641245918053, 127.02433539805601), (37.571851938699304, 127.02657939644664), (37.5746767160558, 127.0268139899432), (37.572940852039835, 127.02929256490962), (37.57576570733122, 127.02952728984062), (37.57750153207081, 127.02704860448738), (37.573587721101404, 127.02410091493888)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,13,1,1,19,1,0,0,2,8,0,0,0,1,0,13,3,0,1,2,0,12,11.267915615558,-0.732084384442027
127.0601267133,37.6103430201,"8930e1c046bffff","['8930e1c06b7ffff', '8930e1c00d3ffff', '8930e1c046fffff', '8930e1c046bffff', '8930e1c06a7ffff', '8930e1c0463ffff', '8930e1c047bffff']","[(37.609261878417726, 127.05856174732162), (37.60861492153645, 127.06375915598953), (37.611441020072284, 127.06399562945894), (37.6103514511866, 127.06127857576917), (37.607525430485964, 127.06104223407432), (37.61317751038829, 127.0615149386855), (37.61208785978322, 127.05879797847071)]",0,0,0,0,0,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,1,7,0,0,0,0,5,0,0,0,2,0,5,1,2,0,1,0,27,4.3143594369409,-22.6856405630591
127.1454803043,37.5395609323,"8930e1cf507ffff","['8930e1cf517ffff', '8930e1cf50fffff', '8930e1cf533ffff', '8930e1cf5abffff', '8930e1cf503ffff', '8930e1cf53bffff', '8930e1cf507ffff']","[(37.54167305187958, 127.1421688270831), (37.537105175981196, 127.14440838419492), (37.54101884798059, 127.14736809376657), (37.54275960883287, 127.14488843098003), (37.538845893848524, 127.14192892488545), (37.53819157316099, 127.14712794917178), (37.539932372982285, 127.14464839681656)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,7,0,0,0,9,1,4,0,0,0,0,0,0,8.09464575432969,8.09464575432969
126.8238502257,37.4930665488,"8930e0ac38fffff","['8930e0ac313ffff', '8930e0ac3bbffff', '8930e0ac387ffff', '8930e0ac317ffff', '8930e0ac38fffff', '8930e0ac383ffff', '8930e0ac38bffff']","[(37.49017390665241, 126.82373153828755), (37.49408205397963, 126.82665280770819), (37.49581177988387, 126.82418114356621), (37.49126305852473, 126.82642788518001), (37.49299282377674, 126.82395633087083), (37.49472246866764, 126.82148476049613), (37.49190359089201, 126.82126007773819)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,2,1,0,0,0,3,0,4,0,0,0,0,0,0,2.99198549781723,2.99198549781723
127.087327567,37.5683984342,"8930e1c1c43ffff","['8930e1c1c57ffff', '8930e1c1c47ffff', '8930e1c1c4bffff', '8930e1c1c4fffff', '8930e1c1c5bffff', '8930e1c1c53ffff', '8930e1c1c43ffff']","[(37.571458609702795, 127.08690156186756), (37.56972047428893, 127.08938118021463), (37.56580628399819, 127.08642676654128), (37.56689425292802, 127.08914366145008), (37.56754437678181, 127.08394735192458), (37.57037048112448, 127.08418462849365), (37.56863242749969, 127.0866641535514)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,1,0,5,4,0,0,0,2,0,10,0,0,0,0,0,0,4.71027726979937,4.71027726979937
